subtype,idx,ssim,psnr
fibroadenoma,0,0.26743456721305847,18.111875534057617
fibroadenoma,1,0.31382450461387634,17.62790870666504
mucinous_carcinoma,0,0.3521139621734619,22.417800903320312
mucinous_carcinoma,1,0.4142986834049225,19.044340133666992
ductal_carcinoma,0,0.5688531398773193,22.689964294433594
ductal_carcinoma,1,0.24796903133392334,17.182666778564453
adenosis,0,0.21346063911914825,19.960926055908203
adenosis,1,0.2528369426727295,21.4923095703125
